,District,PropertyType,MainMaterial,B_area,Rooms,LivingR,BathR,Price
123,三峽區,華廈,鋼筋混凝土造,99.76,3.0,2.0,2.0,7800000.0
124,三峽區,公寓,鋼筋混凝土造,104.89,3.0,2.0,2.0,4600000.0
125,三峽區,公寓,鋼筋混凝土造,90.86,3.0,2.0,2.0,6000000.0
126,三峽區,公寓,鋼筋混凝土造,90.86,3.0,2.0,2.0,6000000.0
127,三峽區,住宅大樓,鋼筋混凝土造,82.06,2.0,1.0,1.0,6500000.0
128,三峽區,華廈,鋼筋混凝土造,113.69,3.0,2.0,2.0,7000000.0
129,三峽區,住宅大樓,鋼筋混凝土造,103.4,3.0,0.0,3.0,8300000.0
130,三峽區,住宅大樓,鋼筋混凝土造,76.64,3.0,1.0,1.0,5200000.0
131,三峽區,華廈,鋼筋混凝土造,138.77,3.0,2.0,2.0,8000000.0
132,三峽區,透天厝,鋼筋混凝土造,232.1,5.0,3.0,4.0,11050000.0
133,三峽區,住宅大樓,鋼筋混凝土造,138.59,4.0,2.0,2.0,10600000.0
134,三峽區,住宅大樓,鋼筋混凝土造,130.76,3.0,2.0,2.0,8400000.0
135,三峽區,住宅大樓,鋼筋混凝土造,137.25,3.0,2.0,2.0,11760000.0
136,三峽區,華廈,鋼筋混凝土造,171.51,4.0,2.0,2.0,11200000.0
137,三峽區,套房,鋼筋混凝土造,41.01,1.0,1.0,1.0,4100000.0
138,三峽區,華廈,鋼筋混凝土造,71.33,2.0,1.0,1.0,4900000.0
139,三峽區,華廈,鋼筋混凝土造,61.66,2.0,1.0,1.0,4300000.0
140,三峽區,住宅大樓,鋼筋混凝土造,137.21,3.0,2.0,2.0,10000000.0
141,三峽區,住宅大樓,鋼筋混凝土造,97.46,3.0,2.0,2.0,6500000.0
142,三峽區,套房,鋼筋混凝土造,38.52,1.0,1.0,1.0,3980000.0
143,三峽區,公寓,鋼筋混凝土造,106.91,3.0,2.0,2.0,4400000.0
144,三峽區,住宅大樓,鋼筋混凝土造,159.95,3.0,2.0,2.0,9300000.0
145,三峽區,住宅大樓,鋼筋混凝土造,121.52,2.0,2.0,1.0,12500000.0
146,三峽區,住宅大樓,鋼筋混凝土造,93.72,2.0,2.0,1.0,9200000.0
147,三峽區,住宅大樓,鋼筋混凝土造,107.44,2.0,2.0,1.0,8050000.0
148,三峽區,華廈,鋼筋混凝土造,144.5,4.0,2.0,2.0,9200000.0
149,三峽區,住宅大樓,鋼筋混凝土造,146.89,3.0,2.0,2.0,10300000.0
150,三峽區,住宅大樓,鋼筋混凝土造,102.86,2.0,2.0,1.0,10200000.0
151,三峽區,套房,鋼筋混凝土造,39.02,1.0,0.0,1.0,4100000.0
152,三峽區,套房,鋼筋混凝土造,39.02,1.0,0.0,1.0,4100000.0
