鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土益也使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,特殊交易備註,備註,編號
北區,房地(土地+建物)+車位,臺南市北區海安路3段A05棟14樓號,15.21,住,,,1060215,土地1建物1車位1,,,05,,,,,2,2,2,有,無,9520000,58736,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段A02棟20樓號,11.15,住,,,1060213,土地1建物1車位1,,,05,,,,,1,2,2,有,無,8080000,63308,,,,,,
北區,房地(土地+建物),臺南市北區海安路3段A06棟05樓號,11.15,住,,,1060224,土地1建物1車位0,,,05,,,,,1,2,2,有,無,6680000,70815,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B03棟16樓號,15.21,住,,,1060509,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10150000,62747,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B03棟04樓號,15.21,住,,,1060605,土地1建物1車位1,,,05,,,,,2,2,2,有,無,9150000,56565,,,,,,
北區,房地(土地+建物),臺南市北區海安路3段B02棟06樓號,11.15,住,,,1060516,土地1建物1車位0,,,05,,,,,1,2,2,有,無,6650000,70670,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B03棟06樓號,15.21,住,,,1060516,土地1建物1車位1,,,05,,,,,2,2,2,有,無,9710000,60027,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段A05棟10樓號,15.21,住,,,1060529,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10120000,62438,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B07棟16樓號,15.18,住,,,1060603,土地1建物1車位1,,,05,,,,,2,2,2,有,無,10280000,63563,,,,,,
北區,房地(土地+建物)+車位,臺南市北區海安路3段B01棟05樓號,15.14,住,,,1060605,土地1建物1車位1,,,05,,,,,2,2,2,有,無,9450000,58463,,,,,,
