,District,MainMaterial,B_area,LivingR,BathR,Price,PropertyType2,log_Price,log_B_area
3971,蘆洲區,鋼筋混凝土造,83.0,1,1,6780000.0,公寓,15.729487659916579,4.418840607796598
3972,三重區,鋼筋混凝土造,70.0,2,2,3980000.0,公寓,15.196792377260621,4.248495242049359
3973,中和區,鋼骨鋼筋混凝土造,44.31,1,1,4200000.0,套房,15.250595083253597,3.7912103852113983
3974,永和區,加強磚造,83.44,0,4,9000000.0,公寓,16.012735135300492,4.424127810692517
3975,中和區,加強磚造,71.93,1,1,5700000.0,公寓,15.555976732804778,4.2756934238792645
3976,中和區,鋼筋混凝土造,89.55,0,0,13540000.0,公寓,16.4211588254484,4.494797128506721
3977,中和區,鋼筋混凝土造,65.5,2,1,8210000.0,住宅大樓,15.920863481428611,4.182050142641207
3978,中和區,鋼筋混凝土造,141.92,2,2,13350000.0,華廈,16.407026942810532,4.955263518561269
3979,中和區,加強磚造,42.0,1,1,5200000.0,公寓,15.464169183551656,3.7376696182833684
3980,中和區,鋼筋混凝土造,148.62,2,2,12980000.0,住宅大樓,16.37892026924022,5.001392712729324
3981,中和區,鋼筋混凝土造,74.06,2,1,5700000.0,公寓,15.555976732804778,4.304875575485466
3982,中和區,鋼骨鋼筋混凝土造,64.98,1,1,8500000.0,住宅大樓,15.955576721460545,4.174079530240954
3983,中和區,鋼筋混凝土造,131.0,2,2,13050000.0,住宅大樓,16.384298691732976,4.875197323201151
3984,中和區,鋼筋混凝土造,87.92,2,2,6200000.0,公寓,15.64005985001532,4.4764273100953655
3985,三重區,鋼筋混凝土造,86.71,1,1,11450000.0,套房,16.253500287964524,4.462569217389069
3986,蘆洲區,鋼筋混凝土造,46.98,1,1,4200000.0,華廈,15.250595083253597,3.849721979230767
3987,蘆洲區,鋼筋混凝土造,98.4,2,2,8880000.0,住宅大樓,15.999312114968353,4.589040804058207
3988,蘆洲區,鋼筋混凝土造,148.77,2,2,14100000.0,華廈,16.461685355348397,5.002401489169152
3989,林口區,鋼筋混凝土造,127.7,2,2,9500000.0,華廈,16.06680235657077,4.8496837630384935
3990,新莊區,鋼筋混凝土造,81.01,2,1,5330000.0,住宅大樓,15.488861796142027,4.3945726038424
3991,林口區,鋼筋混凝土造,133.62,2,2,9200000.0,住宅大樓,16.034714042019267,4.894999950497331
3992,新莊區,鋼筋混凝土造,88.17,2,1,7200000.0,公寓,15.789591583986283,4.479266769098936
3993,林口區,鋼筋混凝土造,130.73,2,2,9500000.0,華廈,16.06680235657077,4.873134127573769
3994,新莊區,鋼筋混凝土造,82.53,0,3,4480000.0,公寓,15.315133604391168,4.413161863604593
