,District,L_area,PropertyType,MainMaterial,B_area,Rooms,LivingR,BathR,Management,Price
3536,淡水區,30.96,公寓,鋼筋混凝土造,112.25,3.0,2.0,2.0,2,4200000.0
3537,淡水區,29.1,住宅大樓,鋼筋混凝土造,224.13,3.0,2.0,2.0,1,11450000.0
3538,淡水區,35.89,住宅大樓,鋼筋混凝土造,217.49,4.0,2.0,2.0,1,13750000.0
3539,淡水區,10.78,住宅大樓,鋼筋混凝土造,64.95,2.0,1.0,1.0,1,3250000.0
3540,淡水區,6.88,華廈,鋼筋混凝土造,38.12,1.0,0.0,1.0,1,2500000.0
3541,淡水區,10.78,住宅大樓,鋼筋混凝土造,62.68,2.0,1.0,1.0,1,3150000.0
3542,淡水區,7.3,住宅大樓,鋼筋混凝土造,34.54,1.0,0.0,1.0,1,1720000.0
3543,淡水區,28.73,華廈,鋼筋混凝土造,170.3,3.0,1.0,2.0,1,8400000.0
3544,淡水區,12.72,住宅大樓,鋼筋混凝土造,143.65,3.0,2.0,2.0,1,9300000.0
3545,淡水區,15.75,住宅大樓,鋼筋混凝土造,117.1,2.0,2.0,1.0,1,6250000.0
3546,淡水區,6.59,套房,鋼筋混凝土造,36.7,1.0,1.0,1.0,1,2080000.0
3547,淡水區,29.59,公寓,鋼筋混凝土造,100.6,6.0,0.0,6.0,2,4800000.0
3548,淡水區,30.2,住宅大樓,鋼筋混凝土造,207.64,4.0,2.0,2.0,1,9150000.0
3549,淡水區,29.64,住宅大樓,鋼筋混凝土造,204.42,4.0,2.0,2.0,1,8750000.0
3550,淡水區,30.48,住宅大樓,鋼筋混凝土造,209.35,4.0,2.0,2.0,1,9020000.0
3551,淡水區,30.48,住宅大樓,鋼筋混凝土造,209.35,4.0,2.0,2.0,1,8930000.0
3552,淡水區,30.48,住宅大樓,鋼筋混凝土造,209.35,4.0,2.0,2.0,1,8960000.0
3553,淡水區,30.2,住宅大樓,鋼筋混凝土造,207.64,4.0,2.0,2.0,1,9050000.0
3554,淡水區,30.2,住宅大樓,鋼筋混凝土造,207.64,4.0,2.0,2.0,1,8500000.0
3555,淡水區,30.2,住宅大樓,鋼筋混凝土造,207.64,4.0,2.0,2.0,1,8850000.0
3556,淡水區,25.67,住宅大樓,鋼筋混凝土造,180.29,4.0,2.0,2.0,1,7500000.0
3557,淡水區,19.39,住宅大樓,鋼筋混凝土造,142.96,2.0,2.0,2.0,1,6090000.0
3558,淡水區,19.95,住宅大樓,鋼筋混凝土造,146.4,2.0,2.0,2.0,1,5930000.0
3559,淡水區,19.95,住宅大樓,鋼筋混凝土造,146.4,2.0,2.0,2.0,1,6060000.0
3560,淡水區,19.95,住宅大樓,鋼筋混凝土造,146.4,2.0,2.0,2.0,1,5990000.0
3561,淡水區,31.18,住宅大樓,鋼筋混凝土造,240.8,4.0,2.0,2.0,1,9850000.0
3562,淡水區,31.18,住宅大樓,鋼筋混凝土造,240.8,4.0,2.0,2.0,1,9870000.0
3563,淡水區,25.25,住宅大樓,鋼筋混凝土造,178.11,4.0,2.0,2.0,1,7100000.0
3564,淡水區,25.25,住宅大樓,鋼筋混凝土造,178.11,4.0,2.0,2.0,1,7350000.0
3565,淡水區,19.95,住宅大樓,鋼筋混凝土造,146.4,2.0,2.0,2.0,1,6070000.0
3566,淡水區,19.95,住宅大樓,鋼筋混凝土造,146.4,2.0,2.0,2.0,1,6310000.0
3567,淡水區,14.23,住宅大樓,鋼筋混凝土造,84.93,2.0,2.0,2.0,1,3720000.0
3568,淡水區,14.23,住宅大樓,鋼筋混凝土造,84.93,2.0,2.0,2.0,1,3970000.0
3569,淡水區,14.93,住宅大樓,鋼筋混凝土造,116.39,2.0,2.0,2.0,1,5040000.0
3570,淡水區,14.93,住宅大樓,鋼筋混凝土造,116.39,2.0,2.0,2.0,1,5140000.0
3571,淡水區,14.58,住宅大樓,鋼筋混凝土造,114.09,2.0,2.0,2.0,1,4350000.0
3572,淡水區,14.93,住宅大樓,鋼筋混凝土造,116.39,2.0,2.0,2.0,1,4550000.0
3573,淡水區,14.93,住宅大樓,鋼筋混凝土造,116.39,2.0,2.0,2.0,1,4990000.0
3574,淡水區,14.23,住宅大樓,鋼筋混凝土造,84.93,2.0,2.0,2.0,1,3870000.0
3575,淡水區,14.93,住宅大樓,鋼筋混凝土造,116.39,2.0,2.0,2.0,1,4670000.0
3576,淡水區,14.93,住宅大樓,鋼筋混凝土造,116.39,2.0,2.0,2.0,1,4940000.0
3577,淡水區,14.93,住宅大樓,鋼筋混凝土造,116.39,2.0,2.0,2.0,1,4940000.0
3578,淡水區,19.39,住宅大樓,鋼筋混凝土造,142.96,2.0,2.0,2.0,1,5760000.0
