,District,L_area,MainMaterial,B_area,House/Building/Fang,LivingR,BathR,Price,PropertyType2,td,jw
4219,三峽區,6.55,鋼筋混凝土造,60.96,2.0,1.0,1.0,3250000.0,住宅大樓,1,1
4220,樹林區,18.97,鋼筋混凝土造,80.2,0.0,1.0,1.0,10650000.0,店面,1,1
4222,樹林區,35.19,鋼筋混凝土造,157.67,4.0,2.0,2.0,8500000.0,公寓,1,1
4223,樹林區,13.42,鋼筋混凝土造,104.89,2.0,2.0,1.0,5200000.0,住宅大樓,1,1
4226,蘆洲區,19.19,鋼筋混凝土造,114.96,3.0,2.0,2.0,9850000.0,住宅大樓,1,1
4227,三重區,22.4,鋼筋混凝土造,77.56,3.0,1.0,1.0,8000000.0,公寓,1,1
4236,三重區,10.97,鋼筋混凝土造,107.8,3.0,2.0,1.0,9600000.0,住宅大樓,3,1
4237,三重區,30.5,鋼筋混凝土造,89.0,3.0,1.0,1.0,6500000.0,公寓,1,1
4238,三重區,14.54,鋼筋混凝土造,34.0,3.0,1.0,1.0,4020000.0,公寓,1,1
4240,蘆洲區,25.55,鋼筋混凝土造,87.0,3.0,1.0,1.0,5000000.0,公寓,2,1
4242,中和區,22.04,鋼筋混凝土造,192.17,4.0,2.0,2.0,14500000.0,住宅大樓,1,2
4243,中和區,4.99,鋼筋混凝土造,54.15,1.0,1.0,1.0,6400000.0,住宅大樓,3,1
4244,中和區,34.19,見其他登記事項,91.13,3.0,2.0,1.0,8400000.0,公寓,1,1
4245,中和區,11.73,鋼筋混凝土造,93.88,3.0,2.0,1.0,9500000.0,住宅大樓,1,1
4246,中和區,4.22,鋼筋混凝土造,58.19,1.0,1.0,1.0,4950000.0,住宅大樓,1,1
4247,中和區,22.54,加強磚造,75.08,1.0,2.0,1.0,5700000.0,公寓,1,1
4248,中和區,16.28,鋼筋混凝土造,118.19,3.0,2.0,2.0,13000000.0,住宅大樓,1,1
4250,五股區,28.58,鋼筋混凝土造,101.36,3.0,2.0,2.0,4600000.0,公寓,1,1
4251,新莊區,7.45,鋼筋混凝土造,65.64,2.0,1.0,1.0,5500000.0,住宅大樓,1,1
4253,新莊區,14.94,鋼筋混凝土造,125.71,3.0,2.0,2.0,13800000.0,住宅大樓,1,1
4254,新莊區,31.3,鋼筋混凝土造,116.9,2.0,1.0,1.0,9820000.0,華廈,1,1
4255,新莊區,16.77,鋼筋混凝土造,110.27,2.0,1.0,1.0,8800000.0,住宅大樓,1,1
4256,新莊區,16.8,鋼筋混凝土造,114.74,3.0,2.0,1.0,11250000.0,華廈,1,1
4257,林口區,12.93,鋼筋混凝土造,69.44,2.0,1.0,2.0,4200000.0,華廈,1,1
4259,新莊區,30.95,鋼筋混凝土造,96.03,3.0,1.0,1.0,5180000.0,公寓,1,1
4261,新莊區,23.23,鋼筋混凝土造,111.94,3.0,2.0,2.0,9250000.0,華廈,1,1
4262,新莊區,15.82,鋼筋混凝土造,207.63,5.0,2.0,2.0,19000000.0,住宅大樓,1,1
4264,板橋區,21.72,鋼骨鋼筋混凝土造,331.19,3.0,2.0,3.0,56300000.0,住宅大樓,1,1
4265,板橋區,21.0,鋼筋混凝土造,72.12,2.0,2.0,2.0,7600000.0,公寓,1,1
4269,土城區,10.45,鋼筋混凝土造,112.49,3.0,2.0,2.0,9650000.0,住宅大樓,1,1
4270,土城區,5.99,鋼筋混凝土造,75.96,2.0,2.0,1.0,6080000.0,住宅大樓,1,1
4271,板橋區,28.8,鋼筋混凝土造,105.68,3.0,2.0,2.0,9600000.0,公寓,0,1
4274,板橋區,15.41,鋼筋混凝土造,49.45,3.0,1.0,1.0,5400000.0,公寓,1,1
4275,板橋區,12.72,鋼筋混凝土造,109.69,3.0,2.0,2.0,10000000.0,住宅大樓,1,1
4283,汐止區,4.55,鋼筋混凝土造,50.72,1.0,0.0,1.0,3480000.0,住宅大樓,1,1
